Fecha,Volumen
2021-07-03 00:00:00,1716
2021-07-04 00:00:00,2030
2021-07-05 00:00:00,1480
2021-07-06 00:00:00,1730
2021-07-07 00:00:00,1537
2021-07-08 00:00:00,1503
2021-07-09 00:00:00,1594
2021-07-10 00:00:00,1704
2021-07-11 00:00:00,1731
2021-07-12 00:00:00,1824
2021-07-13 00:00:00,1562
2021-07-14 00:00:00,1627
2021-07-15 00:00:00,1825
2021-07-16 00:00:00,1686
2021-07-17 00:00:00,1282
2021-07-18 00:00:00,2231
2021-07-19 00:00:00,1849
2021-07-20 00:00:00,1927
2021-07-21 00:00:00,1777
2021-07-22 00:00:00,1687
2021-07-23 00:00:00,1773
2021-07-24 00:00:00,1844
2021-07-25 00:00:00,1821
2021-07-26 00:00:00,1637
2021-07-27 00:00:00,1649
2021-07-28 00:00:00,1833
2021-07-29 00:00:00,1795
2021-07-30 00:00:00,1670
2021-07-31 00:00:00,1869
2021-08-01 00:00:00,1674
2021-08-02 00:00:00,1681
2021-08-03 00:00:00,1717
2021-08-04 00:00:00,1873
2021-08-05 00:00:00,1870
2021-08-06 00:00:00,1645
2021-08-07 00:00:00,1874
2021-08-08 00:00:00,1954
2021-08-09 00:00:00,1486
2021-08-10 00:00:00,1996
2021-08-11 00:00:00,1975
2021-08-12 00:00:00,1850
2021-08-13 00:00:00,1645
2021-08-14 00:00:00,1761
2021-08-15 00:00:00,1889
2021-08-16 00:00:00,1925
2021-08-17 00:00:00,2050
2021-08-18 00:00:00,2223
2021-08-19 00:00:00,2189
2021-08-20 00:00:00,2076
2021-08-21 00:00:00,1976
2021-08-22 00:00:00,1856
2021-08-23 00:00:00,1982
2021-08-24 00:00:00,2032
2021-08-25 00:00:00,2176
2021-08-26 00:00:00,2089
2021-08-27 00:00:00,2013
2021-08-28 00:00:00,1965
2021-08-29 00:00:00,1971
2021-08-30 00:00:00,1879
2021-08-31 00:00:00,1765
2021-09-01 00:00:00,1643
2021-09-02 00:00:00,1450
2021-09-03 00:00:00,1680
2021-09-04 00:00:00,1536
2021-09-05 00:00:00,1397
2021-09-06 00:00:00,1408
2021-09-07 00:00:00,1452
2021-09-08 00:00:00,1529
2021-09-09 00:00:00,1343
2021-09-10 00:00:00,1654
2021-09-11 00:00:00,1495
2021-09-12 00:00:00,916
2021-09-13 00:00:00,1986
2021-09-14 00:00:00,1721
2021-09-15 00:00:00,1337
2021-09-16 00:00:00,935
2021-09-17 00:00:00,1367
2021-09-18 00:00:00,1282
2021-09-19 00:00:00,1166
2021-09-20 00:00:00,1320
2021-09-21 00:00:00,1437
2021-09-22 00:00:00,1333
2021-09-23 00:00:00,1341
2021-09-24 00:00:00,1273
2021-09-25 00:00:00,1213
2021-09-26 00:00:00,1012
2021-09-27 00:00:00,998
2021-09-28 00:00:00,1451
2021-09-29 00:00:00,1367
2021-09-30 00:00:00,1234
2021-10-01 00:00:00,905
2021-10-02 00:00:00,894
2021-10-03 00:00:00,875
2021-10-04 00:00:00,925
2021-10-05 00:00:00,1021
2021-10-06 00:00:00,980
2021-10-07 00:00:00,1035
2021-10-08 00:00:00,1102
2021-10-09 00:00:00,987
2021-10-10 00:00:00,898
2021-10-11 00:00:00,1050
2021-10-12 00:00:00,1020
2021-10-13 00:00:00,973
2021-10-14 00:00:00,1143
2021-10-15 00:00:00,1152
2021-10-16 00:00:00,1119
2021-10-17 00:00:00,873
2021-10-18 00:00:00,1102
2021-10-19 00:00:00,1165
2021-10-20 00:00:00,1089
2021-10-21 00:00:00,896
2021-10-22 00:00:00,989
2021-10-23 00:00:00,1025
2021-10-24 00:00:00,1103
2021-10-25 00:00:00,1075
2021-10-26 00:00:00,995
2021-10-27 00:00:00,1006
2021-10-28 00:00:00,1024
2021-10-29 00:00:00,968
2021-10-30 00:00:00,962
2021-10-31 00:00:00,1063
2021-11-01 00:00:00,1114
2021-11-02 00:00:00,1025
2021-11-03 00:00:00,948
2021-11-04 00:00:00,1076
2021-11-05 00:00:00,1181
None,None
